Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
China memang sangat agresif mengambil alih saham saham perusahaan tambang di dunia. China juga mengambil alih saham tambang milik Freeport di berbagai negara. China menaruh minat besar pada kepemilikan newmont dan Freeport dalam memperkuat rantai suply i,0,0,0,0,0,0,0,0,0,0,0,0
USER iyaa di aku masih ngomongin Kristen bell masa',0,0,0,0,0,0,0,0,0,0,0,0
"USER USER USER USER USER USER USER USER Yang ku khawatirkan...\n\nKlo sampai TKA ini angkat senjata, atau ""menguasai"" desa (cuma tempat singgahan/markas (mungkin)...\n\nWilayah Indonesia Timur langs",0,0,0,0,0,0,0,0,0,0,0,0
"Terharu aku baca tweet dari #CarpoolGE14 dan #PulangMengundi , tak kira jantina, bangsa dan agama bersatu untuk selamatkan Malaysia. Semoga perjalanan pergi dan balik kalian selamat. God bless.",0,0,0,0,0,0,0,0,0,0,0,0
"USER Bukan cuma foto selfie, tapi juga foto badan, dll. Terutama foto yang bajunya terbuka. Beware, orang sinting makin banyak. Setidaknya menjaga itu lebih baik.'",0,1,0,0,0,0,0,0,0,0,0,0
"USER USER Baru juga tuker cincin udah ditanya makanannya /sipitin mata/ belokin dikit itu mata ron, sipit bener'",1,0,1,0,0,0,1,0,0,1,0,0
"USER HRS ada di tempat jauh saja para cebong sudah begitu kalutnya, apalagi kalo ada deket di sini....'",0,1,0,0,0,0,0,0,0,0,0,0
"USER USER USER Najib tokoh islam?? Islam pa munafik, korup dan zalim tu?? \nIslam palsu umno ada lh.'",1,1,1,0,1,0,0,0,0,1,0,0
USER USER USER Memang dibentuk bani togel utk digerakan okeh cukong penunggang agama bukannn? \xf0\x9f\x98\x81',1,1,0,1,1,0,0,0,0,0,1,0
cowo kalo lg ngentot kok ganteng bgt ya haha',0,1,0,0,0,0,0,0,0,0,0,0
"Bongkar terus pak USER siapa itu mereka yang berusaha ""membeli"" bapak dan partai bapak ,kami rakyat Indonesia akan mendukung siapapun yang berani melawan kekuatan para penjajah modern itu pak .; #2019gantipresiden ; #jokowiend2019",1,0,0,1,0,0,0,0,1,0,1,0
RT USER: USER Boleh banget. Rezim ini memang anti-islam dan anti-ulama. Ini buktinya. URL,1,0,0,1,1,0,0,0,0,0,1,0
USER USER Sepupuku aja lah ada kristen',0,0,0,0,0,0,0,0,0,0,0,0
USER Ngewe berapa',0,1,0,0,0,0,0,0,0,0,0,0
RT USER: Drama drama sekarang ending nya kenapa pada bangke gini. Ya #Return lah ya #Misty lah. Gue belum nonton sampe ending tapi da\xe2\x80\xa6',0,1,0,0,0,0,0,0,0,0,0,0
USER dasar setan',1,1,1,0,0,0,0,0,1,1,0,0
Jika pergi haji ke arab lalu pulang harus dipanggil abah\nBagaimana dgn TKI yg pulang dari arab? Apakah dipanggil abah juga? Atau dipanggil abda?!',0,0,0,0,0,0,0,0,0,0,0,0
"USER USER Ini bukan tentang mayoritas atau minoritas. Tapi masalah konsep. Sependek pengetahuan saya, tdk ada perintah dlm kitab suci kristen, budha, hindu yg melarang memilih pemimpin, atau teman, atau pegawai, diluar agama mereka.'",0,0,0,0,0,0,0,0,0,0,0,0
#KTZ909; ; ð???;â??; á?¦ Bicaralah dengan para pemimpin agama atau seorang exorcist yang bisa melakukan exorcism.,0,0,0,0,0,0,0,0,0,0,0,0
RT USER Mending loe beritain mentri joko atau jokowi nya yg mundur krn gagal hadirkan pemerintah yg berkualitas minimal ber IQ,1,0,1,0,0,0,0,0,1,1,0,0
jepitin kontol gua pake memek lu sini',0,1,0,0,0,0,0,0,0,0,0,0
"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",0,0,0,0,0,0,0,0,0,0,0,0
"Arema FC menyadari beratnya tekanan bermain di kandang Persebaya Surabaya. Oleh karena itu, Singo Edan benar-benar mempersiapkan mental para pemainnya.'",0,0,0,0,0,0,0,0,0,0,0,0
"USER UU MD3, gimana tuh?'",0,0,0,0,0,0,0,0,0,0,0,0
Grafiknya di posisi papa minta saham dan bubarkan kpk URL,1,0,0,1,0,0,0,0,1,0,0,1
USER USER okokok',0,0,0,0,0,0,0,0,0,0,0,0
Ketua DPR Dorong Inspirasi Kreatif Pemerintah Sesuai BudayaÂ Pancasila,0,0,0,0,0,0,0,0,0,0,0,0
USER USER WKWKWKWK BODO BANG',0,1,0,0,0,0,0,0,0,0,0,0
"USER Ekonomi kita itu masih di pertumbuhan 5 ,0 %. Sampai akhir tahun dugaan saya ngga bergerak jauh. Baik naik atau turun. Asal rezim ini ngga bikin ulah politik yg macem"". Kalo medan politiknya udah ngga terkelola, semua duit pergi. Cari selama",0,0,0,0,0,0,0,0,0,0,0,0
"3. Dilihat dari jadwalmu padat sekali ya, bagaimana caramu mengatur waktu? USER #KUchat",0,0,0,0,0,0,0,0,0,0,0,0
"Personil Provost Polsek Pringsewu Kota Bripka Viktor I., Patroli Keamanan Objek vital di jalan kesehatan dan menyampaikan pesan Kamtibmas kepada petugas parkir Kopdit Gentiaras Pringsewu",0,0,0,0,0,0,0,0,0,0,0,0
Bersihkan oknum brutal ini jika #2019GantiPresiden @ USER USER: USER Inilah potret polisi kita di rezim ini',1,0,0,1,0,0,0,0,1,0,1,0
USER USER Hebat ya..bisa tampak saat bullying di CFD..bisa tdk tampak saat bendera Israel dikibarkan...bisa tampak saat bom Surabaya..bisa tdk tampak saat ada ancaman ke presiden..bisa tampak saat polisi menetapkan Tsk meski tidak dipakai,0,0,0,0,0,0,0,0,0,0,0,0
"USER Aku bukanlah orang Nasrani, Aku bukanlah orang Yahudi, Aku bukanlah orang Majusi, dan Aku bukanlah orang Islam.Keluarlah, lampaui gagasan sempitmu tentang benar dan salah.Sehingga kita dapat bertemu pada\xe2\x80\x9cSuatu Ruang Murni\xe2\x80\x",0,0,0,0,0,0,0,0,0,0,0,0
USER USER USER Cocot cocot cocot. 2019 bubarin grindra',1,1,0,1,0,0,0,0,1,0,1,0
USER Knp nun? Ada bom?',0,0,0,0,0,0,0,0,0,0,0,0
Deklarasi Anti Hoax dan Pilkada damai Jukir Tambakrejo Simokerto,0,0,0,0,0,0,0,0,0,0,0,0
"USER Ade ustad yg otaknye nangkring di dengkul sampai susah jalan kalau gak dibantu amplop, tetep dibiarin NgOCEh ngalor kidul.\nAde ustad miara jenggot bandot, doyannya jd provokator, nyantai2 aja die, gak diapa-apain.\nAde ustad perutnye bun",1,1,1,0,0,0,1,0,0,1,0,0
